N,SLL(dB),POINTS(without 0 and 1)
10,-10.15,"[0.3425196370054732, 0.4425867282982176, 0.5823949041393355, 0.6317167983641555, 0.7476086844922736, 0.8272035725942575, 0.8852798403930714, 0.949352121040661]"
11,-10.04,"[0.38683374031202233, 0.42628707740776245, 0.5234849921495582, 0.6404925176842138, 0.6961393144556492, 0.7566241044151659, 0.8089118842263308, 0.9129756481397127, 0.969552186236712]"
13,-11.26,"[0.32649225296385537, 0.37721530517590723, 0.4658777238152317, 0.5101207887946948, 0.6526384296571923, 0.6841132630238257, 0.7465188613500962, 0.7741318214342844, 0.8667427525377301, 0.9149860008796991, 0.9544380724382664]"
15,-11.60,"[0.28981949417414515, 0.3934259727037674, 0.43634095426729347, 0.5080010948712789, 0.5831281817416866, 0.6118849720771066, 0.6988586013751273, 0.7397869877068664, 0.7706304200906798, 0.8584574126645736, 0.9199156441958141, 0.9488417739407379, 0.9730084791610784]"
17,-12.21,"[0.27599120998712967, 0.3330928905317544, 0.4262691234823458, 0.46263587015135393, 0.5146115948870118, 0.5887488310623933, 0.6175955519178836, 0.6904719908028848, 0.720308706697966, 0.7657330190288687, 0.8329041358771574, 0.8853447128083943, 0.9148946148829845, 0.9509284961229852, 0.9790009070281224]"
20,-13.46,"[0.24824840176204546, 0.30775947233224915, 0.3426027759749423, 0.40790370650391755, 0.46481277022279655, 0.4979755301071747, 0.5617473667915802, 0.5890351100705267, 0.6264681701017267, 0.6929047822424576, 0.7376152021352155, 0.7647273033150983, 0.7841916042374988, 0.8634304892333485, 0.8896326793827579, 0.9192712260309797, 0.9562520325571081, 0.9818428401210599]"
23,-13.74,"[0.02012884734192288, 0.06247962678175979, 0.11838427377065636, 0.17135595023606576, 0.22930019495007137, 0.25423019169491917, 0.3053146726314051, 0.3603676685032898, 0.3871405377520205, 0.43842361646255856, 0.5145097449480845, 0.5419113301268659, 0.5714618444940684, 0.5980984051335367, 0.6791016795147498, 0.7046201622525046, 0.7850300891082174, 0.8645422366469692, 0.896842650499243, 0.9472454399173653, 0.9754159345109298]"
26,-14.15,"[0.018884607486301924, 0.04541551224109841, 0.06862275699143161, 0.14354172473914692, 0.18997669893309568, 0.21824942895145505, 0.28290784479744113, 0.3210093956878262, 0.36929453181908856, 0.41508942449963665, 0.4347725950507615, 0.5177852415232906, 0.5321102707158955, 0.544974434740583, 0.615301056492436, 0.636568186214541, 0.6857115953727895, 0.71082458188403, 0.7617921315573051, 0.805137111906872, 0.8729314514160206, 0.9261825559022144, 0.9589183313399232, 0.9805675872348997]"
30,-14.80,"[0.022732336801372953, 0.03895951028795409, 0.06133103231134611, 0.08206617329007347, 0.1719657003744167, 0.19108237752860285, 0.2565478734194305, 0.2744544101272179, 0.32423025123256544, 0.3416009950484728, 0.3948668032261678, 0.42925911605492256, 0.45043041237373976, 0.4753164480902008, 0.5350799574334804, 0.5508498024060864, 0.5784120472148926, 0.6177105346764258, 0.660750169258079, 0.6762319990340846, 0.7212490080904553, 0.7648144610216305, 0.7925000232833666, 0.832004721861093, 0.8854546023664323, 0.9202651152181861, 0.9600245885880242, 0.9836357033157914]"
35,-15.05,"[0.012903924153769245, 0.024945159026750655, 0.057816249735784725, 0.07240795786615133, 0.13850611903207063, 0.1692285747857449, 0.19775612437100407, 0.25477800697224734, 0.2724733243931792, 0.31206214512516883, 0.3276715962616046, 0.3649250341672307, 0.3990325310472105, 0.4360118906581261, 0.4633125209924278, 0.4802991833048745, 0.5325047553570132, 0.5472549180344188, 0.5587819246192253, 0.6007689159787558, 0.6213530177735929, 0.644032956310353, 0.6750935147807796, 0.7065215713455381, 0.7471642428472387, 0.7791782641192481, 0.7970981836317282, 0.8339552697743774, 0.8858015388932939, 0.9264569347998155, 0.9587792104286281, 0.9743827778099025, 0.9877491987366707]"
40,-16.22,"[0.011967405369002503, 0.024333045101447716, 0.0371349044271738, 0.08413643997068744, 0.1209771262672226, 0.15324084010845887, 0.1855544186066304, 0.19667043122240105, 0.24994583844630014, 0.26325843567564067, 0.2983273554732798, 0.32738603414026085, 0.34203171139674227, 0.36129676696657353, 0.3912709719135271, 0.4157806918804457, 0.4474853550477548, 0.4614096055794701, 0.48646866861428645, 0.5038307251692536, 0.5402608835269768, 0.5550869055790824, 0.586182453735817, 0.6021130580391705, 0.6155171744448955, 0.665667541057787, 0.6793494940731535, 0.708875066653791, 0.7312681042543757, 0.7649302233055335, 0.7891984141573735, 0.8130079557824421, 0.8631085990998625, 0.8956835079258347, 0.9442605942904614, 0.9587272392462775, 0.9765911756389333, 0.9893970454887102]"
46,-16.56,"[0.010320015276515842, 0.02112010376402796, 0.037952206022815065, 0.051135534527824975, 0.08973233299679345, 0.13594048561530292, 0.15157324895862492, 0.18982739775182814, 0.20565564234247832, 0.24295372533143822, 0.25766051904895576, 0.2964856537266945, 0.30533961947458643, 0.32821431397657863, 0.3534264695548179, 0.3770837756409929, 0.38677344108365336, 0.41491422195723476, 0.43413681212380817, 0.4568548892424573, 0.47026782952463053, 0.4956385916915649, 0.5053030621442257, 0.5307127550208408, 0.5554282700264853, 0.5823966349058943, 0.5931474990201543, 0.6168080858378958, 0.6326977066339783, 0.6587148316513887, 0.6852385111280069, 0.7130704436723478, 0.7262319965197261, 0.739667151839924, 0.7782910375421708, 0.8057625744554561, 0.8182140324879266, 0.8466868069581104, 0.8930478640335038, 0.9067167019015917, 0.9558466838333706, 0.9697155843752673, 0.9802098038674883, 0.9901352381472643]"
53,-17.21,"[0.006289308176164544, 0.014545786415423754, 0.026490501410770785, 0.05410737083287465, 0.06485986235856991, 0.11330235512188055, 0.13821856944512464, 0.16263975663817778, 0.18721291629787448, 0.20629598939325955, 0.2316016764887425, 0.23986821686748788, 0.27730440915564786, 0.2888132617139467, 0.3109718468465358, 0.3342262896192945, 0.34384983478150366, 0.37751110810107785, 0.38881531471199976, 0.4053970462706524, 0.4229743844633759, 0.4390625157545474, 0.4529153234068894, 0.4748022880334788, 0.49353547870707615, 0.5018675801436568, 0.525961842818937, 0.5370040158540275, 0.5579413227662614, 0.5838011506796417, 0.5941513728293769, 0.6182122664344636, 0.6314144941060278, 0.6435278792526944, 0.6656320434299224, 0.6788852162609418, 0.7038298349035379, 0.7249305653409481, 0.7384716218731101, 0.7477581887194386, 0.7886165475756549, 0.8019945572637258, 0.8257326021368512, 0.861849914609574, 0.870229603438438, 0.902677498798947, 0.9384680010733213, 0.9608447708271723, 0.9767775572887816, 0.9852109778276663, 0.9930733513622755]"
61,-17.77,"[0.005557844880624248, 0.011040202898511157, 0.018025243760597477, 0.02925027071730164, 0.05111692758543992, 0.08003657092302707, 0.11887514440818532, 0.12672222369452502, 0.15927320153825855, 0.18341618961092812, 0.19224048963886367, 0.21438229301522, 0.23407910755020495, 0.2537632422827365, 0.2763757117544923, 0.28593651947335136, 0.30605637362565385, 0.32800364895802303, 0.33712036919880545, 0.3464666924619341, 0.36718738913231824, 0.3888033188448435, 0.39836279580220674, 0.4084065053353649, 0.4325646126471775, 0.4456838387463384, 0.4604346837653613, 0.4704411121115236, 0.4863026280346515, 0.5031790053003363, 0.5190778184293642, 0.5308740487421535, 0.5429051797720003, 0.5619693647532376, 0.5811700648526226, 0.590114375935452, 0.6057753090670466, 0.6231150339232925, 0.6314966286475514, 0.6498975202561817, 0.6695067292712406, 0.6888006176145018, 0.7004275273653522, 0.7227163910477192, 0.7306946392354362, 0.7526175872617272, 0.7715198416118673, 0.7795031562920717, 0.8139028182675102, 0.8241280598757487, 0.8550740004982654, 0.8638940796371568, 0.894999355374833, 0.9157169928343686, 0.9466956245497719, 0.965532838211913, 0.9807644571449017, 0.989071038251287, 0.9945355191256697]"
70,-18.41,"[0.004761904762109901, 0.009652339251831552, 0.016279033088980092, 0.02292981659203814, 0.04483926964062336, 0.07040926966919933, 0.09201128476276817, 0.12228961955509474, 0.13811639817671129, 0.15028761365873733, 0.1716115137254098, 0.19509845355364067, 0.20507792550598025, 0.23177599741227067, 0.23952265109940324, 0.25830348732030145, 0.26879759887367577, 0.28883291171176084, 0.30498369147302523, 0.3168012533330748, 0.3236284546821953, 0.3424176003258743, 0.3614732156051, 0.37086518658744977, 0.3881464677820735, 0.3965445473142341, 0.41544082436007373, 0.4239832299457202, 0.43079434112052306, 0.4436077993554578, 0.4590010075537647, 0.47186523325562063, 0.48343973124614165, 0.4923414459977649, 0.5143368907562835, 0.5229959422444282, 0.53082945284689, 0.5455335858694349, 0.556230447945534, 0.5760363862759396, 0.5836119522979116, 0.6014577305352903, 0.6202927829138066, 0.6273909052114063, 0.6351422070324391, 0.6508643922592223, 0.6666348100146037, 0.673187062447519, 0.6881611284120315, 0.7141971978820104, 0.7221488862768416, 0.729579609335531, 0.7524879710759157, 0.7602627986873748, 0.7878271851916784, 0.7951324620915158, 0.8120715578246712, 0.8279425998119402, 0.8488185505192919, 0.8695483443153675, 0.8902065401371249, 0.9064400481260647, 0.9347880117029405, 0.9624610514152425, 0.9718444907215888, 0.9819380997885407, 0.9890718194981992, 0.9952380952380178]"
81,-19.04,"[0.004115226337586694, 0.008230452675035254, 0.013314161557504934, 0.021049831781512537, 0.02814320473282708, 0.05102138640815009, 0.0742509302866931, 0.10400991702240245, 0.11298452515738351, 0.13649163218845226, 0.15124810822344475, 0.16124843289050603, 0.18698378131421853, 0.19208823739221756, 0.20553727451917114, 0.23007846039098162, 0.2354753189464905, 0.2572993329094162, 0.2656549034544031, 0.2720465507291224, 0.29390295610899636, 0.3015632254516409, 0.3175968020551415, 0.3252316007327231, 0.34023583185938755, 0.3504531014625243, 0.35755123778069187, 0.3734795089888933, 0.38782947748085056, 0.3933438922059897, 0.39902877584203167, 0.41846057291979505, 0.4275995352073038, 0.43852085844257566, 0.44565540875370296, 0.45826960931846095, 0.470734296660175, 0.4769853599074981, 0.4922540258722195, 0.5063534904198606, 0.5125693369635291, 0.5184071273653744, 0.5341833577559584, 0.541479389876032, 0.5564346464690957, 0.5675146328000291, 0.5738147537185396, 0.5884973663966475, 0.5950675475041378, 0.608785540402719, 0.6231673274495533, 0.6305328873938935, 0.6452573274391132, 0.654274311935877, 0.6697428568588796, 0.6766094800158582, 0.6869119817640026, 0.7024286903401924, 0.7157818994113839, 0.7320273171605849, 0.7367439844235035, 0.7488625726397932, 0.7658878266589514, 0.7794939559710474, 0.7953386864204074, 0.8022347963950647, 0.8180386288628445, 0.8430156337984981, 0.8492031149587957, 0.8731891512137415, 0.8882541782578881, 0.9054045873196297, 0.9257695641442518, 0.9442138163511781, 0.9679427602205267, 0.980729825958525, 0.9870294520725937, 0.9917695473251029, 0.9958847736625515]"
93,-19.69,"[0.0035842293906810036, 0.007168458781362007, 0.01144703349814675, 0.017171175681546236, 0.023422141904179353, 0.038475396268449626, 0.0653522117375264, 0.0853506727493113, 0.10022690494792125, 0.11285874797807759, 0.13641181868909302, 0.14885560977415638, 0.16227083895240293, 0.17532429370856817, 0.19029376745657323, 0.20444780446703645, 0.21752876600399598, 0.23069488797028595, 0.2357046241852586, 0.24581227663724192, 0.26270155804944595, 0.2751706569544895, 0.2812539044635807, 0.30046734983720896, 0.3088986482555179, 0.31549075417067673, 0.3221528696248115, 0.3359416740769366, 0.34910607888735873, 0.35527175185941523, 0.36283482709561243, 0.37757000818002473, 0.3836041197699274, 0.3969670862060868, 0.40341753432585087, 0.4144013482531923, 0.42200495977817354, 0.4313925489893331, 0.44620376218212593, 0.450555006476475, 0.4565695907932514, 0.46512299018660563, 0.4776617258032478, 0.4907910191721755, 0.4985811147231793, 0.5050011406637704, 0.5117422174575735, 0.5182649758359451, 0.5356486488911602, 0.5415086376967654, 0.5541114496970716, 0.5604399984288485, 0.5670689377917973, 0.5740740129909558, 0.5872608678287136, 0.6021738230848428, 0.6082742304489162, 0.6157223524418727, 0.6222557253379474, 0.6347392862111035, 0.6421382168862833, 0.6543295901721179, 0.665244101298281, 0.671693718409218, 0.6874493308600962, 0.6937739170931934, 0.7080501853215196, 0.7137004229305861, 0.7266677923117004, 0.7351622737527799, 0.7464549015520882, 0.7576699967007101, 0.7679845090324657, 0.7806267183845249, 0.8018384088131222, 0.8077362683033442, 0.8141164421178168, 0.8341706957006038, 0.8408127825637246, 0.8641033729722968, 0.8706722929043736, 0.8912466052171624, 0.8981284499369401, 0.9206148768124587, 0.9395591030712073, 0.959802031361023, 0.9749083109013561, 0.9808773227851225, 0.9888166046672902, 0.9928315412186379, 0.996415770609319]"
107,-20.32,"[0.003115264797507787, 0.006230529595015575, 0.009345794392523364, 0.013548067218962392, 0.018993539822966365, 0.03140458162837717, 0.042828433378894706, 0.07232959747834432, 0.08498310431583428, 0.10200115661991238, 0.11520166355200398, 0.1297980357038139, 0.1353275676593514, 0.15459275514781418, 0.1704694509474014, 0.17642226252005197, 0.18087988444414838, 0.2012258509692114, 0.21440564564275183, 0.22039623746800124, 0.23251448771176236, 0.2374707803563856, 0.24972931228933654, 0.26211666967924785, 0.27314276818833694, 0.27761006749489875, 0.2837691192068809, 0.30276805039128446, 0.3073522206107685, 0.31320212719033935, 0.32421637310695506, 0.32975374176235944, 0.34611787398404215, 0.3509264584233779, 0.3580158614271134, 0.36851820190167484, 0.37346693522715385, 0.38400629018590376, 0.3917685514796178, 0.39648316482033663, 0.40686655442600506, 0.41993002509433697, 0.4241437019114785, 0.43132883379012216, 0.4424413841158626, 0.4460821832375393, 0.45769671302080317, 0.46249700913684416, 0.4683348490657396, 0.48080573400787385, 0.48598810643933427, 0.4966209793984813, 0.5031497743591364, 0.5088770821162637, 0.5200415784170725, 0.5243031254697375, 0.534052947207226, 0.5379684650493217, 0.5501309718285351, 0.5567834376533631, 0.5687779089733553, 0.5741606150804609, 0.5797622478323632, 0.5861856618183728, 0.5973144864343433, 0.6026299328023815, 0.6109459690535831, 0.6213464611249732, 0.6300043172101857, 0.6359850005821609, 0.6459975304192473, 0.6535073654711447, 0.6638226359238689, 0.6682706288938047, 0.678520340512598, 0.6882312482089107, 0.7005388001811399, 0.7056398780109168, 0.711202865439848, 0.7215496823510855, 0.7356078992555812, 0.7427487871907344, 0.754784642783335, 0.7600863561778263, 0.7738545534199651, 0.7839513028245433, 0.7919727245319919, 0.8030395818375027, 0.820838867804607, 0.827571837374662, 0.8323625032105094, 0.8511265996283335, 0.8619977655707204, 0.8794463911184195, 0.8882057631028916, 0.9079839262264462, 0.9145908748588029, 0.9373942333500082, 0.9443742962031527, 0.9687183801582661, 0.9819785412044899, 0.9874070290513434, 0.9906542056074766, 0.9937694704049844, 0.9968847352024922]"
124,-20.86,"[0.0026881720430193545, 0.005376344086068064, 0.008064516129078818, 0.010752688172116252, 0.014454251951579145, 0.020191998801349705, 0.03723615256949235, 0.056593184349542504, 0.07180516953862641, 0.08213976744756205, 0.10070626445545994, 0.10526740243737491, 0.12105183782959772, 0.1359868529098178, 0.14385102778911038, 0.15707283587525928, 0.1680634279496657, 0.17240930125288254, 0.18775259044447984, 0.19743715060268316, 0.20818865200896514, 0.2131813583831892, 0.22518887412085378, 0.23562595327091337, 0.24005418264552883, 0.25082675298079266, 0.26035995975848203, 0.26518971604119185, 0.27720225669742404, 0.2868878310855889, 0.29074437989139407, 0.2955451261665913, 0.31151394744701444, 0.3154993369569424, 0.3199611236466976, 0.3295981355281764, 0.33822998137728666, 0.3443308084348903, 0.350032158593769, 0.3602454036643917, 0.3683471764012886, 0.37358030118257, 0.3770545620791992, 0.39140411126594915, 0.3953769533653349, 0.40413620219810037, 0.4070172890215463, 0.41155505306838036, 0.42030937173062694, 0.4266704623968291, 0.43657279951206945, 0.44129552828740787, 0.4513652947736583, 0.45693100516154683, 0.46187195266778247, 0.4668428719147534, 0.4777501893210658, 0.4832536168246609, 0.48728517672984406, 0.4973504628836179, 0.5029779484990229, 0.5082054497625496, 0.5158223576483838, 0.5216430138958816, 0.5301132020242919, 0.5357495306439388, 0.5406236933615508, 0.5493468421780776, 0.5560743608476347, 0.5621772501555361, 0.5686153804213088, 0.5740737546683187, 0.577302501293144, 0.5878748809126253, 0.5984128262163738, 0.603196715201775, 0.6071044217444266, 0.6185159988953611, 0.6230505683699179, 0.6295492056106141, 0.6388557816963497, 0.6435276652788897, 0.6480339465839718, 0.6612599055852585, 0.6642089745174767, 0.672268546355595, 0.6776393201355239, 0.6876487460397888, 0.6990625291324493, 0.7028926606618809, 0.7083038269002874, 0.7192506961367086, 0.7231126074745919, 0.7332037244428976, 0.7457562495747602, 0.7494536107520093, 0.7569986773729588, 0.7659678261800513, 0.7750456923905737, 0.7835432836845638, 0.7956499198973117, 0.8044987431516094, 0.8104232314533089, 0.8146296343313757, 0.8345999200674267, 0.8386109096973006, 0.8518379045480269, 0.8607978082015783, 0.8720992603983009, 0.8822944495751777, 0.893857933101377, 0.9073819050239046, 0.9226175053897817, 0.9312999684789225, 0.9490481543946707, 0.9652140093511498, 0.9808461027438631, 0.9854167916338313, 0.9892473118279534, 0.9919354838709642, 0.9946236559139785, 0.9973118279569892]"
